plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-009482934456,pes,ssp585,Brazil,Salinas Associacao Terenas Energia solar project,-16.1699,-42.291,solar,2.0,2023.0,0.0481812717954426,0.713003767208226,27.0,1.1727634601725492,False,0.056505235026337315,0.8361847651471819
BRA-00a66a3a4740,bau,ssp370,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.053050810013508,0.6008497277956366,26.0,1.1669319840609758,False,0.061906686985104764,0.7011507649790595
BRA-00a66a3a4740,opt,ssp126,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.0300343341120651,0.5547509649259442,26.0,1.1669319840609758,False,0.03504802509534237,0.6473566441607729
BRA-00a66a3a4740,pes,ssp585,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.0768432184991046,0.6393173502839479,26.0,1.1669319840609758,False,0.0896708094247912,0.7460398640114531
BRA-00a7282a2d5e,bau,ssp370,Brazil,Petrobras Transporte Transpetro solar project,-23.4676,-46.5278,solar,2.0,2024.0,0.0311110555923229,0.2129547575356296,26.0,1.1669319840609758,False,0.03630448582858068,0.24850371772627627
BRA-00a7282a2d5e,opt,ssp126,Brazil,Petrobras Transporte Transpetro solar project,-23.4676,-46.5278,solar,2.0,2024.0,0.0539461152572165,0.2214184538178736,26.0,1.1669319840609758,False,0.06295144730948572,0.25838027562140475
BRA-00a7282a2d5e,pes,ssp585,Brazil,Petrobras Transporte Transpetro solar project,-23.4676,-46.5278,solar,2.0,2024.0,0.0910627096317799,0.3035666039224269,26.0,1.1669319840609758,False,0.10626398842458144,0.35424157940985
BRA-00a9375c7e42,bau,ssp370,Brazil,Ibimirim solar farm,-8.5838,-37.6124,solar,5.0,2023.0,0.040770480637675,0.8504711532274025,27.0,1.1727634601725492,False,0.04781412994553765,0.9974014924359068
BRA-00a9375c7e42,opt,ssp126,Brazil,Ibimirim solar farm,-8.5838,-37.6124,solar,5.0,2023.0,0.008275080665973,0.8262977206112619,27.0,1.1727634601725492,False,0.009704712235033457,0.9690517739567539
BRA-00a9375c7e42,pes,ssp585,Brazil,Ibimirim solar farm,-8.5838,-37.6124,solar,5.0,2023.0,0.0243405506633993,0.8419255554932539,27.0,1.1727634601725492,False,0.0285457084185134,0.987379527667964
