country,water_scenario,gcm,point_estimate,p2.5,p50.0,p97.5,rank_within_scenario
India,bau,gfdl_esm4,0.8092907178681437,0.740887438672835,0.8092907178681437,0.8814101502484802,1
Portugal,bau,gfdl_esm4,0.3161066290860392,0.3108476360096968,0.3161066290860392,0.3215261251362529,2
Brazil,bau,gfdl_esm4,0.27431653012686685,0.2624163114339153,0.27431653012686685,0.2869903280615574,3
India,opt,gfdl_esm4,0.7638914556750389,0.6994153565743199,0.7638914556750389,0.8315803143310013,1
Brazil,opt,gfdl_esm4,0.245270248470347,0.23462723673625568,0.245270248470347,0.25657316065219166,2
Portugal,opt,gfdl_esm4,0.2360684281150305,0.23195315201749883,0.2360684281150305,0.24025222798168183,3
India,pes,gfdl_esm4,0.8460622822370846,0.7746339978112808,0.8460622822370846,0.9211673166477464,1
Brazil,pes,gfdl_esm4,0.3267800317370255,0.3126256568033567,0.3267800317370255,0.34196513383063104,2
Portugal,pes,gfdl_esm4,0.2979427979730922,0.29312993092029094,0.2979427979730922,0.30286525666630426,3
